"keyword","cluster","intent","product_relevance","journey_stage","availability","status","source_type","source_evidence","demand_proxy","demand_score","competition_score","rustore_relevance","conversion_potential","business_value","strategic_value","winability_score","opportunity_score","tier","target","metadata_placement","notes"
"луна в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Retention","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"натальная карта личности","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"характер по натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"сильные стороны по натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"таланты по натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"теневая сторона натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"отношения в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"любовь в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"карьера в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"деньги в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"семья в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"вопросы по натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"натальная карта приложение","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Observed RuStore SERP; planned authenticated validation in ASOdesk Search Explorer https://hq.asodesk.com/stores-analytics/search-explorer?locale=ru","RuStore volume unavailable — proxy: RuStore SERP now; ASOdesk Daily Impressions and Difficulty pending login; no demo metrics used","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"совместимость знаков","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Free","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"совместимость знаков зодиака","Совместимость","Оценить отношения по знакам или двум картам","10","Monetization","Free","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","10","9","7","9","69","84","S","TOP-1","short/full/visual","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"совместимость по знаку зодиака","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Free","Target","Evidence","RuStore SERP 2026-08-26: exact-title result appears in top 5","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость пары","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"совместимость мужчины и женщины","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"любовная совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"совместимость в любви","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость в отношениях","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость партнеров","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость по дате рождения","Совместимость","Оценить отношения по знакам или двум картам","10","Monetization","Premium","Target","Evidence","RuStore SERP 2026-08-26: 500 results; top results include exact date/zodiac compatibility phrasing","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","8","8","10","10","9","10","69","89","S","TOP-1","short/full/visual","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"совместимость пары по дате рождения","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"совместимость по двум датам рождения","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"совместимость натальных карт","Совместимость","Оценить отношения по знакам или двум картам","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","10","10","9","70","85","S","TOP-1","short/full/visual","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"совместимость по натальной карте","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"натальная совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"синастрия","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"синастрия онлайн","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рассчитать синастрию","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"расчет совместимости","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"проверить совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","A","TOP-3","short/full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"узнать совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"подходим ли мы друг другу","Совместимость","Оценить отношения по знакам или двум картам","9","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимы ли мы","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"кто мне подходит по знаку зодиака","Совместимость","Оценить отношения по знакам или двум картам","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"идеальная пара по знаку зодиака","Совместимость","Оценить отношения по знакам или двум картам","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость по гороскопу","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Free","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость друзей","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость в дружбе","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"семейная совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость в работе","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"деловая совместимость","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость мужа и жены","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость парня и девушки","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"совместимость двух людей","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"анализ отношений по дате рождения","Совместимость","Оценить отношения по знакам или двум картам","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP совместимость по дате рождения — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","9","8","8","66","77","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астролог онлайн","ИИ и астрология","Получить персональный разбор или ответ от ИИ","9","Acquisition","Mixed","Target","Proxy","Observed RuStore SERP; planned authenticated validation in ASOdesk Search Explorer https://hq.asodesk.com/stores-analytics/search-explorer?locale=ru","RuStore volume unavailable — proxy: RuStore SERP now; ASOdesk Daily Impressions and Difficulty pending login; no demo metrics used","6","7","8","8","8","7","61","73","A","TOP-3","full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"личный астролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","9","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26 natal cluster: Lunessa title contains личный астролог","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","6","7","8","8","8","7","61","73","A","TOP-3","full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"персональный астролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26 AI cluster: Astrelle title contains персональный ИИ-астролог","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"ИИ астролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26: 500 results; top results Arcai AI-Астролог Astrelle Neurodzen SoulMap","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","7","8","9","8","9","8","58","76","S","TOP-1","full/visual","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"AI астролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26: Astrollo AI and AI-Астролог appear in top results","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"нейроастролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астрологический помощник","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астробот","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"вопрос астрологу","ИИ и астрология","Получить персональный разбор или ответ от ИИ","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","8","8","8","7","61","73","A","TOP-3","full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"задать вопрос астрологу","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"консультация ИИ астролога","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"разбор ИИ астрологом","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астрология","ИИ и астрология","Получить персональный разбор или ответ от ИИ","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","8","8","8","7","61","73","S","TOP-1","full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"астрология онлайн","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
